zone	rule	period	n_hours	mae_mw	median_ae_mw
SE4	ana16w	all	18024	238.6374213075462	206.8612500000001
SE4	ana16w	evening	3004	230.6775009655899	198.66189581249995
SE4	ana16w	jul26	504	219.87607912425597	173.04631918750013
SE4	ana16w	jul26_evening	84	239.01492304017856	173.88007465625014
SE4	anad2	all	18024	216.05036281001765	181.57437500000015
SE4	anad2	evening	3004	215.55848879048503	177.7687482656254
SE4	anad2	jul26	504	210.57467877116818	171.07334960937493
SE4	anad2	jul26_evening	84	219.86672391309526	178.5520176718752
SE4	anad2w	all	18024	215.59674836864735	178.6337499999999
SE4	anad2w	evening	3004	212.70368603641336	172.98923084375008
SE4	anad2w	jul26	504	203.655600846875	137.60304209375002
SE4	anad2w	jul26_evening	84	221.5902687561012	196.6245272343748
SE4	ana16wb	all	18024	229.3905395154465	193.48618890624994
SE4	ana16wb	evening	3004	224.09496614506014	184.05093750000015
SE4	ana16wb	jul26	504	248.12299981715208	192.67837385937491
SE4	ana16wb	jul26_evening	84	300.59142476130955	236.2613489062501
SE4	v3	all	18024	276.53926735568484	224.69859643749996
SE4	v3	evening	3004	268.0361954426063	209.77875000000012
SE4	v3	jul26	504	307.06258774764746	263.2382295000001
SE4	v3	jul26_evening	84	378.9147615092262	332.82445062500005
SI	v2	all	18000	134.25309638508597	108.3503125
SI	v2	evening	3000	115.39279393749999	91.91375000000002
SI	v2	jul26	504	133.30409052579367	121.94456249999998
SI	v2	jul26_evening	84	103.90763095238091	96.14915625000002
SI	rec3	all	18000	133.78836172883598	107.03031250000004
SI	rec3	evening	3000	116.02640808333334	89.34781250000003
SI	rec3	jul26	504	117.8725652281746	107.69493749999998
SI	rec3	jul26_evening	84	91.95858928571428	82.19806250000002
SI	d2	all	18000	108.7113017040344	86.665625
SI	d2	evening	3000	85.30397308333333	69.09874999999995
SI	d2	jul26	504	106.11505537840137	85.03593749999996
SI	d2	jul26_evening	84	73.2160744047619	62.333
SI	ana8	all	18000	135.8537378227513	109.84637500000008
SI	ana8	evening	3000	119.174442125	93.08425000000004
SI	ana8	jul26	504	137.65702738803856	125.65896875000001
SI	ana8	jul26_evening	84	108.4053638392857	103.27584375000002
SI	ana8b	all	18000	126.2798932876984	102.68981249999999
SI	ana8b	evening	3000	104.83579957291666	83.15015624999991
SI	ana8b	jul26	504	138.5953921662415	128.49979687499993
SI	ana8b	jul26_evening	84	105.93276525297621	102.06746875000005
SI	ana16	all	18000	133.07538784804893	109.21115624999999
SI	ana16	evening	3000	112.54333764583335	90.87709375000004
SI	ana16	jul26	504	135.4454179598923	125.90068749999998
SI	ana16	jul26_evening	84	105.8864456845238	102.83318750000001
SI	ana16b	all	18000	123.79892334713955	101.91576562499998
SI	ana16b	evening	3000	102.23398369791667	80.55945312499999
SI	ana16b	jul26	504	139.08462342332766	131.79045312499997
SI	ana16b	jul26_evening	84	119.29117447916666	109.08025000000005
SI	ana8w	all	18000	149.50105449255952	121.67906250000007
SI	ana8w	evening	3000	128.681435875	103.26781249999998
SI	ana8w	jul26	504	149.77144653486394	133.00475
SI	ana8w	jul26_evening	84	111.05445907738091	101.97600000000003
SI	ana16w	all	18000	143.269170421627	118.17125000000001
SI	ana16w	evening	3000	122.59463183333332	98.1531875
SI	ana16w	jul26	504	153.31578330498866	140.32421874999997
SI	ana16w	jul26_evening	84	137.20143824404764	128.38281249999997
